ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
566, 0.000, 0.000, 0.000, 0.000, {built-in, method unicodedata.east_asian_width}
566, 0.000, 0.000, 0.000, 0.000, sre_compile.py:453(_get_iscased)
565/266, 0.001, 0.000, 0.012, 0.000, {built-in, method numpy.core._multiarray_umath.implement_array_function}
558, 0.000, 0.000, 0.000, 0.000, _docscrape.py:153(__getitem__)
556, 0.000, 0.000, 0.001, 0.000, ttFont.py:962(_escapechar)
550, 0.000, 0.000, 0.026, 0.000, _pytree.py:196(<listcomp>)
550, 0.000, 0.000, 0.029, 0.000, _pytree.py:194(tree_map)
544, 0.001, 0.000, 0.001, 0.000, registration.py:71(__init__)
544, 0.000, 0.000, 0.000, 0.000, registration.py:76(set_base)
544, 0.000, 0.000, 0.000, 0.000, registration.py:81(in_base)
544, 0.000, 0.000, 0.001, 0.000, registration.py:135(__init__)
544, 0.000, 0.000, 0.000, 0.000, registration.py:159(add)
544, 0.000, 0.000, 0.002, 0.000, registration.py:213(register)
544, 0.000, 0.000, 0.002, 0.000, registration.py:296(wrapper)
544, 0.000, 0.000, 0.000, 0.000, registration.py:267(onnx_symbolic)
540, 0.000, 0.000, 0.000, 0.000, _tensor_docs.py:8(add_docstr_all)
538, 0.000, 0.000, 0.000, 0.000, rcsetup.py:180(validator)
522, 0.000, 0.000, 0.000, 0.000, {built-in, method numpy.asanyarray}
520, 0.000, 0.000, 0.000, 0.000, {method, 'copy' of 'dict' objects}
520, 0.000, 0.000, 0.000, 0.000, _metadata_requests.py:208(requests)
520, 0.000, 0.000, 0.000, 0.000, _docscrape.py:58(seek_next_non_empty_line)
510, 0.001, 0.000, 0.001, 0.000, function_base.py:2268(__init__)
508, 0.000, 0.000, 0.000, 0.000, _param_validation.py:289(__init__)
500, 0.000, 0.000, 0.003, 0.000, _metadata_requests.py:1141(_build_request_for_signature)
497, 0.000, 0.000, 0.001, 0.000, typing.py:920(<genexpr>)
494, 0.000, 0.000, 0.001, 0.000, sre_parse.py:355(_escape)
484, 0.000, 0.000, 0.006, 0.000, typing.py:841(copy_with)
483, 0.000, 0.000, 0.000, 0.000, inspect.py:81(ismethod)
467, 0.000, 0.000, 0.000, 0.000, dataclasses.py:281(__set_name__)
466, 0.001, 0.000, 0.003, 0.000, assumptions.py:469(__init__)
466, 0.000, 0.000, 0.000, 0.000, facts.py:579(__init__)
465, 0.000, 0.000, 0.000, 0.000, __init__.py:725(__getitem__)
461, 0.000, 0.000, 0.000, 0.000, {method, '__reduce_ex__' of 'object' objects}
461, 0.000, 0.000, 0.003, 0.000, core.py:522(copy)
461, 0.000, 0.000, 0.001, 0.000, copyreg.py:94(__newobj__)
461, 0.001, 0.000, 0.003, 0.000, copy.py:66(copy)
